gene	expressed
JUNB	TRUE
PRDX2	TRUE
RNASEH2A	TRUE
RTBDN	TRUE
MAST1	TRUE
DNASE2	TRUE
KLF1	TRUE
GCDH	TRUE
SYCE2	TRUE
FARSA	TRUE
CALR	TRUE
RAD23A	TRUE
GADD45GIP1	TRUE
DAND5	TRUE
NFIX	TRUE
LYL1	TRUE
TRMT1	TRUE
NACC1	TRUE
STX10	TRUE
IER2	TRUE
CCDC130	TRUE
MRI1	TRUE
C19orf53	TRUE
ZSWIM4	TRUE
CC2D1A	TRUE
C19orf57	TRUE
DCAF15	TRUE
PODNL1	TRUE
RFX1	TRUE
RLN3	TRUE
IL27RA	TRUE
PALM3	TRUE
MISP3	TRUE
C19orf67	TRUE
SAMD1	TRUE
PRKACA	TRUE
ASF1B	TRUE
LOC100507373	TRUE
LINC01841	TRUE
ADGRE5	TRUE
DDX39A	TRUE
PKN1	TRUE
PTGER1	TRUE
GIPC1	TRUE
DNAJB1	TRUE
TECR	TRUE
NDUFB7	TRUE
ZNF333	TRUE
ILVBL	TRUE
AKAP8	TRUE
AKAP8L	TRUE
WIZ	TRUE
RASAL3	TRUE
PGLYRP2	TRUE
CYP4F3	TRUE
UCA1	TRUE
LINC01835	TRUE
TPM4	TRUE
RAB8A	TRUE
HSH2D	TRUE
FAM32A	TRUE
AP1M1	TRUE
EPS15L1	TRUE
CALR3	TRUE
C19orf44	TRUE
CHERP	TRUE
SLC35E1	TRUE
MED26	TRUE
SMIM7	TRUE
TMEM38A	TRUE
NWD1	TRUE
SIN3B	TRUE
F2RL3	TRUE
HAUS8	TRUE
MYO9B	TRUE
USE1	TRUE
OCEL1	TRUE
NR2F6	TRUE
USHBP1	TRUE
BABAM1	TRUE
ANKLE1	TRUE
